text,label
"BON DE LIVRAISON
BL N°: DN-5485
Date: 19/6/2023
Client: Client 28
Commande N°: PO-7939
Articles livrés: 14 x Item 32
Transporteur: Carrier 10",delivery_note
"DELIVERY NOTE
Delivery #: DN-6762
Date: 26/8/2023
Customer: Client 60
Order reference: PO-4902
Items delivered: 19 x Item 20
Carrier: Carrier 7",delivery_note
"BON DE LIVRAISON
BL N°: DN-3892
Date: 12/2/2023
Client: Client 47
Commande N°: PO-9675
Articles livrés: 19 x Item 5
Transporteur: Carrier 10",delivery_note
"BON DE LIVRAISON
BL N°: DN-8539
Date: 19/5/2023
Client: Client 49
Commande N°: PO-9877
Articles livrés: 11 x Item 14
Transporteur: Carrier 4",delivery_note
"DELIVERY NOTE
Delivery #: DN-9680
Date: 25/7/2023
Customer: Client 24
Order reference: PO-5328
Items delivered: 6 x Item 31
Carrier: Carrier 2",delivery_note
"BON DE LIVRAISON
BL N°: DN-8565
Date: 9/2/2023
Client: Client 68
Commande N°: PO-7371
Articles livrés: 12 x Item 32
Transporteur: Carrier 6",delivery_note
"DELIVERY NOTE
Delivery #: DN-4170
Date: 7/12/2023
Customer: Client 93
Order reference: PO-4408
Items delivered: 15 x Item 31
Carrier: Carrier 7",delivery_note
"BON DE LIVRAISON
BL N°: DN-9910
Date: 27/6/2023
Client: Client 16
Commande N°: PO-4005
Articles livrés: 8 x Item 5
Transporteur: Carrier 5",delivery_note
"BON DE LIVRAISON
BL N°: DN-2365
Date: 3/8/2023
Client: Client 83
Commande N°: PO-4886
Articles livrés: 6 x Item 1
Transporteur: Carrier 5",delivery_note
"BON DE LIVRAISON
BL N°: DN-3895
Date: 16/8/2023
Client: Client 51
Commande N°: PO-5122
Articles livrés: 10 x Item 26
Transporteur: Carrier 10",delivery_note
"DELIVERY NOTE
Delivery #: DN-1477
Date: 28/12/2023
Customer: Client 42
Order reference: PO-8111
Items delivered: 16 x Item 48
Carrier: Carrier 4",delivery_note
"BON DE LIVRAISON
BL N°: DN-3786
Date: 7/12/2023
Client: Client 11
Commande N°: PO-8103
Articles livrés: 17 x Item 16
Transporteur: Carrier 6",delivery_note
"BON DE LIVRAISON
BL N°: DN-5370
Date: 23/6/2023
Client: Client 63
Commande N°: PO-2302
Articles livrés: 13 x Item 31
Transporteur: Carrier 6",delivery_note
"BON DE LIVRAISON
BL N°: DN-6382
Date: 10/12/2023
Client: Client 71
Commande N°: PO-1160
Articles livrés: 17 x Item 45
Transporteur: Carrier 3",delivery_note
"BON DE LIVRAISON
BL N°: DN-8075
Date: 16/8/2023
Client: Client 59
Commande N°: PO-2153
Articles livrés: 6 x Item 7
Transporteur: Carrier 4",delivery_note
"BON DE LIVRAISON
BL N°: DN-6420
Date: 27/7/2023
Client: Client 91
Commande N°: PO-6158
Articles livrés: 14 x Item 46
Transporteur: Carrier 8",delivery_note
"DELIVERY NOTE
Delivery #: DN-3303
Date: 19/1/2023
Customer: Client 60
Order reference: PO-7697
Items delivered: 4 x Item 38
Carrier: Carrier 5",delivery_note
"BON DE LIVRAISON
BL N°: DN-2857
Date: 2/1/2023
Client: Client 85
Commande N°: PO-3392
Articles livrés: 12 x Item 21
Transporteur: Carrier 7",delivery_note
"DELIVERY NOTE
Delivery #: DN-3057
Date: 24/5/2023
Customer: Client 1
Order reference: PO-2731
Items delivered: 3 x Item 21
Carrier: Carrier 8",delivery_note
"BON DE LIVRAISON
BL N°: DN-6003
Date: 18/1/2023
Client: Client 86
Commande N°: PO-8525
Articles livrés: 20 x Item 50
Transporteur: Carrier 7",delivery_note
"BON DE LIVRAISON
BL N°: DN-3561
Date: 28/5/2023
Client: Client 73
Commande N°: PO-8633
Articles livrés: 15 x Item 4
Transporteur: Carrier 10",delivery_note
"DELIVERY NOTE
Delivery #: DN-1610
Date: 9/9/2023
Customer: Client 32
Order reference: PO-8416
Items delivered: 11 x Item 48
Carrier: Carrier 7",delivery_note
"DELIVERY NOTE
Delivery #: DN-4983
Date: 1/5/2023
Customer: Client 36
Order reference: PO-5180
Items delivered: 17 x Item 12
Carrier: Carrier 10",delivery_note
"DELIVERY NOTE
Delivery #: DN-6998
Date: 16/2/2023
Customer: Client 94
Order reference: PO-8964
Items delivered: 5 x Item 15
Carrier: Carrier 3",delivery_note
"BON DE LIVRAISON
BL N°: DN-5521
Date: 9/9/2023
Client: Client 13
Commande N°: PO-9390
Articles livrés: 6 x Item 50
Transporteur: Carrier 8",delivery_note
"DELIVERY NOTE
Delivery #: DN-7645
Date: 21/7/2023
Customer: Client 64
Order reference: PO-9292
Items delivered: 1 x Item 17
Carrier: Carrier 5",delivery_note
"BON DE LIVRAISON
BL N°: DN-8262
Date: 19/5/2023
Client: Client 89
Commande N°: PO-4012
Articles livrés: 3 x Item 31
Transporteur: Carrier 5",delivery_note
"DELIVERY NOTE
Delivery #: DN-9861
Date: 26/7/2023
Customer: Client 80
Order reference: PO-6604
Items delivered: 10 x Item 2
Carrier: Carrier 10",delivery_note
"BON DE LIVRAISON
BL N°: DN-5563
Date: 18/5/2023
Client: Client 13
Commande N°: PO-8775
Articles livrés: 17 x Item 45
Transporteur: Carrier 3",delivery_note
"DELIVERY NOTE
Delivery #: DN-4981
Date: 25/1/2023
Customer: Client 5
Order reference: PO-5376
Items delivered: 6 x Item 4
Carrier: Carrier 1",delivery_note
